pos_x,pos_y,disp_x,disp_y,disp_xy_indi
0.0,0.0,0.7847256660461426,0.909153938293457,1.200980955080498
0.0,6.0,-0.6232810020446777,-1.9864401817321777,2.0819279053583926
0.0,12.0,1.6700398921966553,-3.3192882537841797,3.71573784775485
0.0,18.0,0.9022512435913086,-3.042832374572754,3.1737810520434655
0.0,24.0,0.009467601776123047,-2.1950931549072266,2.195113572051331
0.0,30.0,-0.29992008209228516,-2.0040855407714844,2.0264034421535055
0.0,36.0,0.34376096725463867,-2.3861465454101562,2.41078139589235
0.0,42.0,0.3155202865600586,-2.261138916015625,2.283046703147191
0.0,48.0,0.5678796768188477,-2.5068397521972656,2.570356564864168
0.0,54.0,1.2402596473693848,-3.431140899658203,3.648420461816337
0.0,60.0,-8.129945755004883,2.7004776000976562,8.566714495531592
0.0,66.0,-1.5100703239440918,0.0048370361328125,1.5100780708874506
0.0,72.0,5.1557841300964355,-8.132698059082031,9.629272439616136
0.0,78.0,-1.8731327056884766,-1.0031051635742188,2.1248167220513614
0.0,84.0,0.5285472869873047,-0.8790054321289062,1.0256767445417516
0.0,90.0,3.544088125228882,-4.993011474609375,6.122966946258101
0.0,96.0,0.7866573333740234,-1.1967849731445312,1.432174581570168
0.0,102.0,2.1565134525299072,-3.739990234375,4.317183946065169
0.0,108.0,1.1165566444396973,-3.0391006469726562,3.237720105671899
0.0,114.0,1.063619613647461,-3.2455368041992188,3.415376381886373
0.0,120.0,1.744478702545166,-4.8013458251953125,5.108436911302137
0.0,126.0,1.3361573219299316,-4.675079345703125,4.862271411343357
0.0,132.0,2.6709253787994385,-5.163566589355469,5.813455280796696
0.0,138.0,3.133342742919922,-5.5800933837890625,6.399631154716294
0.0,144.0,1.697258472442627,-4.282470703125,4.606543351082481
0.0,150.0,1.2872600555419922,-4.0802154541015625,4.278457268979461
0.0,156.0,0.9283080101013184,-4.125335693359375,4.228492679965657
0.0,162.0,0.8764967918395996,-4.1082611083984375,4.200720885858077
0.0,168.0,2.923889636993408,-3.4814910888671875,4.546417359985671
0.0,174.0,0.6585869789123535,-3.95733642578125,4.011763751220655
0.0,180.0,-10.694183349609375,8.031021118164062,13.373961930387702
0.0,186.0,4.229841232299805,-4.2613525390625,6.004222040584271
0.0,192.0,-10.507170677185059,8.115859985351562,13.27658913054585
0.0,198.0,-10.638675689697266,8.628021240234375,13.697597269320307
0.0,204.0,-10.847370147705078,8.79437255859375,13.964470194771804
0.0,210.0,-6.9257307052612305,16.09149169921875,17.518614411757117
0.0,216.0,-7.949540138244629,16.076385498046875,17.93447403999834
0.0,222.0,-8.675317764282227,16.22845458984375,18.401735697642533
0.0,228.0,-8.070746421813965,17.408294677734375,19.188164878175762
0.0,234.0,-9.368635177612305,16.2591552734375,18.765166007710807
0.0,240.0,-8.747337341308594,15.015304565429688,17.377435994854515
0.0,246.0,-9.837569236755371,16.852203369140625,19.513444772331468
0.0,252.0,-21.716434478759766,12.09356689453125,24.856747307376484
0.0,258.0,-24.13668441772461,-6.861053466796875,25.0928991819414
0.0,264.0,-19.98686981201172,-4.841094970703125,20.56480404471855
0.0,270.0,-19.25510597229004,-5.012939453125,19.89695122285866
0.0,276.0,-16.144973754882812,-4.07843017578125,16.652140110045252
