pos_x,pos_y,disp_x,disp_y,disp_xy_indi
0.0,0.0,0.7847256660461426,0.909153938293457,
0.0,6.0,-0.6232810020446777,-1.9864401817321775,
0.0,12.0,1.6700398921966553,-3.3192882537841797,
0.0,18.0,0.9022512435913086,-3.042832374572754,
0.0,24.0,0.009467601776123,-2.1950931549072266,
0.0,30.0,-0.2999200820922851,-2.0040855407714844,
0.0,36.0,0.3437609672546386,-2.386146545410156,
0.0,42.0,0.3155202865600586,-2.261138916015625,
0.0,48.0,0.5678796768188477,-2.5068397521972656,
0.0,54.0,1.2402596473693848,-3.431140899658203,
0.0,60.0,-8.129945755004883,2.700477600097656,
0.0,66.0,-1.5100703239440918,0.0048370361328125,
0.0,72.0,5.1557841300964355,-8.132698059082031,
0.0,78.0,-1.8731327056884768,-1.0031051635742188,
0.0,84.0,0.5285472869873047,-0.8790054321289062,
0.0,90.0,3.544088125228882,-4.993011474609375,
0.0,96.0,0.7866573333740234,-1.1967849731445312,
0.0,102.0,2.1565134525299072,-3.739990234375,
0.0,108.0,1.1165566444396973,-3.039100646972656,
0.0,114.0,1.063619613647461,-3.2455368041992188,
0.0,120.0,1.744478702545166,-4.8013458251953125,
0.0,126.0,1.3361573219299316,-4.675079345703125,
0.0,132.0,2.6709253787994385,-5.163566589355469,
0.0,138.0,3.133342742919922,-5.5800933837890625,
0.0,144.0,1.697258472442627,-4.282470703125,
0.0,150.0,1.2872600555419922,-4.0802154541015625,
0.0,156.0,0.9283080101013184,-4.125335693359375,
0.0,162.0,0.8764967918395996,-4.1082611083984375,
0.0,168.0,2.923889636993408,-3.4814910888671875,
0.0,174.0,0.6585869789123535,-3.95733642578125,
0.0,180.0,-10.694183349609377,8.031021118164062,
0.0,186.0,4.229841232299805,-4.2613525390625,
0.0,192.0,-10.50717067718506,8.115859985351562,
0.0,198.0,-10.638675689697266,8.628021240234375,
0.0,204.0,-10.847370147705078,8.79437255859375,
0.0,210.0,-6.9257307052612305,16.09149169921875,
0.0,216.0,-7.949540138244629,16.076385498046875,
0.0,222.0,-8.675317764282227,16.22845458984375,
0.0,228.0,-8.070746421813965,17.408294677734375,
0.0,234.0,-9.368635177612305,16.2591552734375,
0.0,240.0,-8.747337341308594,15.015304565429688,
0.0,246.0,-9.837569236755373,16.852203369140625,
0.0,252.0,-21.71643447875977,12.09356689453125,
0.0,258.0,-24.13668441772461,-6.861053466796875,
0.0,264.0,-19.98686981201172,-4.841094970703125,
0.0,270.0,-19.25510597229004,-5.012939453125,
0.0,276.0,-16.144973754882812,-4.07843017578125,
0.0,282.0,-17.162364959716797,-4.6468505859375,
0.0,288.0,-17.415771484375,-5.639495849609375,
0.0,294.0,-11.022855758666992,-3.38702392578125,
0.0,300.0,-6.97807502746582,-1.8892822265625,
0.0,306.0,-6.593347549438477,-2.6397705078125,
0.0,312.0,-3.942859649658203,2.197662353515625,
0.0,318.0,-6.165736198425293,-3.3890380859375,
0.0,324.0,-5.412016868591309,-2.4613037109375,
0.0,330.0,-5.600780487060547,-4.301361083984375,
0.0,336.0,-4.1877546310424805,2.404998779296875,
0.0,342.0,-5.105130195617676,2.92889404296875,
0.0,348.0,-4.495891571044922,1.210296630859375,
0.0,354.0,-4.415658950805664,-1.430694580078125,
0.0,360.0,-3.935365676879883,5.6102294921875,
0.0,366.0,-5.647130012512207,8.433746337890625,
0.0,372.0,-3.9791011810302734,-0.041015625,
0.0,378.0,-1.9355812072753904,-4.968017578125,
0.0,384.0,-0.7499451637268066,-6.093109130859375,
0.0,390.0,-6.008078575134277,1.560943603515625,
0.0,396.0,-3.441587448120117,-7.814697265625,
0.0,402.0,-3.140627861022949,-9.5980224609375,
0.0,408.0,-2.2949719429016113,-8.92559814453125,
0.0,414.0,-0.9227566719055176,-11.76318359375,
0.0,420.0,-1.3001937866210938,-7.1036376953125,
0.0,426.0,0.8927230834960938,-10.515838623046877,
0.0,432.0,0.8809027671813965,-11.06298828125,
0.0,438.0,0.4172539710998535,-11.5755615234375,
0.0,444.0,1.2129805088043213,-10.309600830078123,
0.0,450.0,2.2367451190948486,-9.096832275390623,
0.0,456.0,1.5443549156188965,-9.933624267578123,
0.0,462.0,0.7075047492980957,-10.320831298828123,
0.0,468.0,0.0865430831909179,-9.81219482421875,
0.0,474.0,-0.0764670372009277,-9.74853515625,
0.0,480.0,-0.1555509567260742,-9.4483642578125,
0.0,486.0,-0.1965289115905761,-9.279022216796877,
0.0,492.0,-0.2293052673339843,-9.048431396484377,
0.0,498.0,-0.2614226341247558,-8.785736083984375,
0.0,504.0,-0.3044652938842773,-8.774078369140625,
0.0,510.0,-0.672642707824707,-8.796966552734375,
0.0,516.0,-0.749387264251709,-8.149993896484375,
0.0,522.0,0.0038738250732421,-12.10528564453125,
0.0,528.0,0.0705771446228027,-13.081787109375,
0.0,534.0,-2.214627265930176,-7.523193359375,
0.0,540.0,-4.544586181640625,-5.9952392578125,
0.0,546.0,-6.697604179382324,-6.302001953125,
0.0,552.0,-8.195111274719238,-7.2232666015625,
0.0,558.0,-8.648027420043945,-7.21478271484375,
0.0,564.0,-8.434385299682617,-7.27484130859375,
0.0,570.0,-7.694507598876953,-7.26123046875,
0.0,576.0,-2.952237129211426,-7.31207275390625,
0.0,582.0,-2.9881744384765625,-7.3917236328125,
0.0,588.0,-2.70123291015625,-8.20281982421875,
0.0,594.0,0.0877895355224609,-8.53131103515625,
0.0,600.0,0.9238066673278807,-9.10369873046875,
0.0,606.0,0.5237607955932617,-8.87554931640625,
0.0,612.0,0.2716627120971679,-8.67205810546875,
0.0,618.0,-0.4676814079284668,-8.21099853515625,
0.0,624.0,-0.933229923248291,-7.91705322265625,
0.0,630.0,-1.2195677757263184,-7.89764404296875,
0.0,636.0,-1.3765664100646973,-7.663818359375,
0.0,642.0,-1.6245365142822266,-7.5927734375,
